Gross pay,Phi-h,Position,Pressure,Random 1,Random 2,Gross pay transform,Production
0.1,0.5,2.1,19,5,379,3.54,15.1
1,4,1.1,16,13,269,5.79,21.3
1.9,19,1,14,12,245,8.51,22.75
3.1,21.7,2.1,17,6,273,11.52,15.72
4.1,24.6,2.9,11,10,237,10.16,7.71
4.9,39.2,1.1,12,7,278,11.14,22.67
5.9,23.6,2.1,13,13,241,15.04,18.11
7,63,2,13,20,269,15.1,24.3
8.1,72.9,2.9,14,1,248,14.49,24.04
8.9,35.6,2.8,16,1,210,16.9,25.11
10,100,2.2,16,21,334,16.61,36.8
11.1,77.7,2,14,1,340,17.81,36.42
11.9,71.4,2.9,20,11,224,19.74,39.59
13,117,1.1,16,9,338,17.7,51.6
14.1,141,1.2,14,10,367,19.16,48.05
15.1,105.7,1,17,3,363,21.97,51.72
15.9,79.5,1.1,20,10,395,22.15,59.2
16,160,1.2,17,15,295,24.24,58.3
17.1,85.5,1.9,14,6,266,23.58,41.8
18,90,2.8,18,19,210,23.77,44.2
19.1,114.6,2.1,10,21,366,29.25,37.51
